ISBN,タイトル,サブタイトル,巻,作者1
9784040694597,Re:ゼロから始める異世界生活,,14,長月達平
9784040698168,Re:ゼロから始める異世界生活,,16,長月達平
9784040651583,Re:ゼロから始める異世界生活,,17,長月達平
9784040653808,Re:ゼロから始める異世界生活,,18,長月達平
9784040657950,Re:ゼロから始める異世界生活,,20,長月達平
9784040640068,Re:ゼロから始める異世界生活,,21,長月達平
9784040647302,Re:ゼロから始める異世界生活,,23,長月達平
9784040649450,Re:ゼロから始める異世界生活,,24,長月達平
9784046800800,Re:ゼロから始める異世界生活,,25,長月達平
9784046805102,Re:ゼロから始める異世界生活,,27,長月達平
9784040696096,Re:ゼロから始める異世界生活 短編集,,3,長月達平
9784040645858,Re:ゼロから始める異世界生活 短編集,,6,長月達平
9784040680095,Re:ゼロから始める異世界生活 Ex,剣鬼恋歌,2,長月達平
9784040699530,Re:ゼロから始める異世界生活 Ex,剣鬼恋譚,3,長月達平
9784040687414,Re:ゼロから始める異世界生活 Re:zeropedia,,ONLY ONE,長月達平
9784167907259,天使は奇跡を希う,,ONLY ONE,七月隆文
9784048662178,デュラララ！！,×13,13,成田良悟
9784048664868,デュラララ！！SH,×1,1,成田良悟
9784048690089,デュラララ！！SH,×2,2,成田良悟
9784048691697,デュラララ！！SH,×3,3,成田良悟
9784048668309,デュラララ！！外伝！？,,ONLY ONE,成田良悟
9784048668309,デュラララ！！外伝！？,,ONLY ONE,成田良悟
9784048652438,折原臨也と、夕焼けを,,1,成田良悟
9784062754309,クビキリサイクル,青色サヴァンと戯言遣い,1,西尾維新
9784062761796,サイコロジカル,上 兎吊木垓輔の戯言殺し,4,西尾維新
9784062762120,サイコロジカル,下 曳かれ者の小唄,5,西尾維新
9784062762267,ヒトクイマジカル,殺戮奇術の匂宮兄妹,6,西尾維新
9784062763899,ネコソギラジカル,下 青色サヴァンと戯言遣い,9,西尾維新
9784062771214,零崎双識の人間試験,,1,西尾維新
9784062772068,零崎軋識の人間ノック,,2,西尾維新
9784062773720,零崎曲識の人間人間,,3,西尾維新
9784062779388,零崎人識の人間関係,戯言遣いとの関係,7,西尾維新
9784062779371,零崎人識の人間関係,無桐伊織との関係,5,西尾維新
9784062779340,零崎人識の人間関係,零崎双識との関係,6,西尾維新
9784062779302,零崎人識の人間関係,匂宮出夢との関係,4,西尾維新
9784062764919,ダブルダウン勘繰郎 トリプルプレイ助悪郎,,ONLY ONE,西尾維新
9784062940016,美少年探偵団 きみだけに光かがやく暗黒星,,1,西尾維新
9784062940115,ぺてん師と空気男と美少年,,2,西尾維新
9784062940115,ぺてん師と空気男と美少年,,2,西尾維新
9784062940238,屋根裏の美少年,,3,西尾維新
9784062940238,屋根裏の美少年,,3,西尾維新
9784062940474,押絵と旅する美少年,,4,西尾維新
9784062940498,パノラマ島美談,,5,西尾維新
9784062940658,D坂の美少年,,6,西尾維新
9784062940955,美少年椅子,,7,西尾維新
9784062941228,緑衣の美少年,,8,西尾維新
9784062932462,少女不十分,,ONLY ONE,西尾維新
9784048936149,世界の果てのランダム・ウォーカー,,ONLY ONE,西条陽
9784048664660,罪色の環 リジャッジメント,,ONLY ONE,仁科裕貴
9784048656894,初恋ロスタイム,,ONLY ONE,仁科裕貴
9784049126280,初恋ロスタイム,Advanced Time,2,仁科裕貴
9784061389564,魔法少女まどか☆マギカ,上,1,一肇
9784061389571,魔法少女まどか☆マギカ,下,2,一肇
9784864725378,最後の医者は桜を見上げて君を想う,,ONLY ONE,二宮敦人
9784864726818,最後の医者は雨上がりの空に君を願う,上,2,二宮敦人
9784864726825,最後の医者は雨上がりの空に君を願う,下,3,二宮敦人
9784041086551,小説空の青さを知る人よ,,ONLY ONE,額賀澪
9784048704731,小説家の作り方,,ONLY ONE,野崎まど
9784049121995,あの日、神様に願ったことは,kiss of the orange prince,1,葉月文
9784101801667,犯人IAのインテリジェンス・アンプリファー,探偵AI2,2,早坂吝
9784101802206,四元館の殺人,探偵AIのリアル・ディープラーニング,3,早坂吝
9784048701389,0能者ミナト,,1,葉山透
9784048706841,0能者ミナト,,2,葉山透
9784048862684,0能者ミナト,,3,葉山透
9784040722399,デート・ア・バレット デート・ア・ライブフラグメント,,1,東出祐一郎
9784840132527,僕は友達が少ない,,3,平坂読
9784840134576,僕は友達が少ない,,4,平坂読
9784840135894,僕は友達が少ない,,5,平坂読
9784840138819,僕は友達が少ない,,6,平坂読
9784840142229,僕は友達が少ない,,7,平坂読
9784840145985,僕は友達が少ない,,8,平坂読
9784840151290,僕は友達が少ない,,9,平坂読
9784040663920,僕は友達が少ない,,10,平坂読
9784840143066,僕は友達が少ない ゆにばーす,,1,平坂読
9784840149822,僕は友達が少ない ゆにばーす,,2,平坂読
9784840143653,僕は友達が少ない CONNECT,,ONLY ONE,平坂読
9784094515077,妹さえいればいい。,,1,平坂読
9784094515602,妹さえいればいい。,,2,平坂読
9784094515800,妹さえいればいい。,,3,平坂読
9784094515985,妹さえいればいい。,,4,平坂読
9784094516180,妹さえいればいい。,,5,平坂読
9784094516463,妹さえいればいい。,,6,平坂読
9784094516777,妹さえいればいい。,,7,平坂読
9784094516975,妹さえいればいい。,,8,平坂読
9784094517194,妹さえいればいい。,,9,平坂読
9784049125375,破滅の刑死者,内閣情報調査室「特務捜査」部門CIRO-S,1,吹井賢
9784048680714,ねこシス,,ONLY ONE,伏見つかさ
9784048932851,俺の妹がこんなに可愛いわけがない,あやせif 上,13,伏見つかさ
9784048932851,俺の妹がこんなに可愛いわけがない,あやせif 上,13,伏見つかさ
9784049138214,魔女の娘,,ONLY ONE,冬月いろり
9784101800332,忘却のレーテ,,ONLY ONE,法条遙
9784049167054,遥か遠くのスターライト,,ONLY ONE,牧野圭祐
9784049125610,規格外の錬銀術師、最凶吸血鬼の始祖となる 蒼はアルケミスト学園と踊らない,,ONLY ONE,枕木みる太
9784048655415,アンダーワールドストリートへようこそ 不運な女の子と呪われたボディガード,,ONLY ONE,真坂マサル
9784048922791,三輪ケイトの秘密の暗号表,,ONLY ONE,真坂マサル
9784048938556,まさか勇者が可愛すぎて倒せないっていうんですか?,,ONLY ONE,真代屋秀晃
9784049123968,15歳のテロリスト,,ONLY ONE,松村涼哉
9784048926140,タイムカプセル浪漫紀行,,ONLY ONE,松山剛
9784049140026,僕の愛したジークフリーデ,第2部 失われし王女の物語,2,松山剛
9784049122176,法廷の王様 弁護士・霧島連次郎,,ONLY ONE,間宮夏生
9784049139464,天使は炭酸しか飲まない,,1,丸深まろやか
9784049143447,天使は炭酸しか飲まない,,2,丸深まろやか
9784048660013,スターティング・オーヴァー,,ONLY ONE,三秋縋
9784048654425,僕が電話をかけていた場所,,ONLY ONE,三秋縋
9784048654425,僕が電話をかけていた場所,,ONLY ONE,三秋縋
9784048924115,恋する寄生虫,,ONLY ONE,三秋縋
9784049132526,虚ろなるレガリア,Corpse Reviver,01,三雲岳斗
9784048652094,放送中です！にしおぎ街角ラジオ,,ONLY ONE,岬鷺宮
9784048922784,踊り場姫コンチェルト The revolving star & A watch maker,,ONLY ONE,岬鷺宮
9784049141559,恋は夜空をわたって,,1,岬鷺宮
9784040656335,罪人楽園,,ONLY ONE,水城水城
9784049120387,学校の屋上から君とあの歌を贈ろう,,ONLY ONE,道草よもぎ
9784049120387,学校の屋上から君とあの歌を贈ろう,,ONLY ONE,道草よもぎ
9784046808400,グッバイ宣言,,1,三月みどり
9784048938280,スカートのなかのひみつ。,,ONLY ONE,宮入裕昂
9784048867061,還りの会で言ってやる Human ERROR in Emotions,,ONLY ONE,八重野統摩
9784048918671,プリズム少女 四季には絵を描いて,,ONLY ONE,八重野統摩
9784048665605,犯罪者書館アレクサンドリア 殺人鬼はパピルスの森にいる,,ONLY ONE,八重野統摩
9784094516104,弱キャラ友崎くん,Lv.1,1,屋久ユウキ
9784094516319,弱キャラ友崎くん,Lv.2,2,屋久ユウキ
9784094516555,弱キャラ友崎くん,Lv.3,3,屋久ユウキ
9784094517095,弱キャラ友崎くん,Lv.5,5,屋久ユウキ
9784094517330,弱キャラ友崎くん,Lv.6,6,屋久ユウキ
9784094517576,弱キャラ友崎くん,Lv.6.5,6.5,屋久ユウキ
9784094517897,弱キャラ友崎くん,Lv.7 イラスト集付き特装版,7,屋久ユウキ
9784094518153,弱キャラ友崎くん,Lv.8,8,屋久ユウキ
9784094518788,弱キャラ友崎くん,Lv.9,9,屋久ユウキ
9784040674803,絶深海のソラリス,,2,らきるち
9784049133844,バケモノたちが嘯く頃に バケモノ姫の家庭教師,,ONLY ONE,竜騎士07
9784048702706,はたらく魔王さま！,,1,和ヶ原聡司
9784048708159,はたらく魔王さま！,,3,和ヶ原聡司
9784048863445,はたらく魔王さま！,,4,和ヶ原聡司
9784048652056,はたらく魔王さま！,,13,和ヶ原聡司
9784048657501,はたらく魔王さま！,,15,和ヶ原聡司
9784048928922,はたらく魔王さま！,,17,和ヶ原聡司
9784048938778,はたらく魔王さま！SP,,ONLY ONE,和ヶ原聡司
9784048926676,はたらく魔王さま！,ハイスクールN！,ONLY ONE,和ヶ原聡司
9784049133837,ドラキュラやきん！,,1,和ヶ原聡司
9784049135428,ドラキュラやきん！,,2,和ヶ原聡司
9784048869973,天体少年。 さよならの軌道、さかさまの七夜,,ONLY ONE,渡来ななみ
9784094512625,やはり俺の青春ラブコメはまちがっている。,,1,渡航
9784094512861,やはり俺の青春ラブコメはまちがっている。,,2,渡航
9784094513332,やはり俺の青春ラブコメはまちがっている。,イラスト集付き限定特装版,4,渡航
9784094513561,やはり俺の青春ラブコメはまちがっている。,,5,渡航
9784094514346,やはり俺の青春ラブコメはまちがっている。,,7.5,渡航
9784094514537,やはり俺の青春ラブコメはまちがっている。,イラスト集付き限定特装版,8,渡航
9784094514827,やはり俺の青春ラブコメはまちがっている。,,9,渡航
9784094515237,やはり俺の青春ラブコメはまちがっている。,,10,渡航
9784094515237,やはり俺の青春ラブコメはまちがっている。,,10,渡航
9784094515428,やはり俺の青春ラブコメはまちがっている。,,10.5,渡航
9784094515589,やはり俺の青春ラブコメはまちがっている。,,11,渡航
9784094516746,やはり俺の青春ラブコメはまちがっている。,,12,渡航
9784094517620,やはり俺の青春ラブコメはまちがっている。,,13,渡航
9784094517811,やはり俺の青春ラブコメはまちがっている。,,14,渡航
